Fertilizer_Name,Fertilizer_Type,Brand,N_pct,P_pct,K_pct,S_pct,Zn_pct,B_pct,Ca_pct,Mg_pct,Organic_Carbon_pct,Other_Micronutrients,Application_Method,Suitable_Crops,Suitable_Soil_Types,Suitable_Seasons,Water_Compatibility,Bag_Size_Kg,Price_Per_Bag_INR,Cost_Per_Kg_INR,Unit,Availability,Last_Updated,Remarks
Zinc Sulphate Monohydrate (ZnSO4·H2O),Micronutrient,General Commercial,0.0,0.0,0.0,17.5,33.0,0.0,0.0,0.0,0.0,,Soil Application,Cereals;Vegetables;Cotton,All,All,Both,10,800,80.0,kg,Medium,2026-08-01,High-concentration Zn source (33% Zn + 17.5% S); economical soil application
Chelated Zinc EDTA (Zn 12%),Micronutrient,Aries Agro / Yara,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,,Foliar Spray,Vegetables;Fruits;Cereals;Cotton,All,All,Both,1,360,360.0,kg,High,2026-08-01,Premium chelated foliar zinc (12% Zn); 100% water soluble with high plant uptake
Borax 11% B,Micronutrient,Borax Morarji,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,,Soil Application / Foliar Spray,Oilseeds;Vegetables;Pulses;Cotton,All,All,Both,5,900,180.0,kg,High,2026-08-01,Essential Boron source (11% B); critical for flowering, pollen germination, and square drop prevention
Ferrous Sulphate (FeSO4),Micronutrient,Aries Agro,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,Fe 19%,Soil Application / Foliar Spray,Cereals;Fruits;Vegetables,Alkaline;Black;Calcareous,All,Both,10,350,35.0,kg,High,2026-08-01,Supplies 19% Iron; corrects iron chlorosis in high pH and calcareous soils
Bentonite Sulphur (S 90%),Secondary Nutrient,Mahadhan / Deepak,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,,Soil Application,Oilseeds;Pulses;Cereals;Groundnut,Alkaline;Black;Alluvial,All,Both,25,1150,46.0,kg,High,2026-08-01,Elemental Sulphur (90% S); essential for oil synthesis in groundnut, mustard, soybean
Magnesium Sulphate (Epsom Salt),Secondary Nutrient,FCO Standard,0.0,0.0,0.0,13.0,0.0,0.0,0.0,9.6,0.0,,Fertigation / Foliar Spray,Vegetables;Fruits;Cotton,Sandy;Red;Laterite,All,Both,25,750,30.0,kg,High,2026-08-01,Supplies 9.6% Mg + 13% S; prevents interveinal chlorosis and reddish leaf in cotton
NPK 19-19-19 (WSF),Water Soluble Complex,Haifa / Mahadhan,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,,Foliar Spray / Fertigation,Vegetables;Fruits;Flowers;Cotton,All,All,Irrigated,1,140,140.0,kg,High,2026-08-01,100% water soluble NPK grade for foliar spray during active vegetative/flowering phase
WSF 0-52-34 (MKP),Water Soluble PK,FCO Standard,0.0,52.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,,Foliar Spray / Fertigation,Vegetables;Fruits;Cotton;Wheat,All,All,Irrigated,1,190,190.0,kg,High,2026-08-01,Mono Potassium Phosphate; promotes rapid flowering, fruit set, and stress tolerance
WSF 13-0-45 (KNO3),Water Soluble NK,SQM / IPL,13.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,Foliar Spray / Fertigation,Vegetables;Fruits;Cotton,All,All,Irrigated,1,180,180.0,kg,High,2026-08-01,Potassium Nitrate; premium foliar spray for boll development, fruit sizing, and yield quality
Calcium Nitrate,Secondary + Nitrogenous,YaraLiva / Haifa,15.5,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,,Foliar Spray / Fertigation,Vegetables;Fruits;Cotton,Acidic;Sandy;Loamy,All,Irrigated,25,2375,95.0,kg,Medium,2026-08-01,Supplies 15.5% N + 19% Ca; prevents blossom end rot and improves pod/fruit firmness
PROM (Phosphate Rich Organic Manure),Organic Phosphatic,Govt PROM FCO,0.4,10.4,0.4,0.0,0.0,0.0,8.0,0.0,12.0,,Soil Application,Cereals;Pulses;Oilseeds,All,All,Both,50,700,14.0,kg,Medium,2026-08-01,Bio-organic P source approved by Govt FCO; enriches soil organic carbon
Rhizobium Biofertilizer,Biofertilizer (N-Fixing),KVIC / ICAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biological N fixation 20-30 kg/ha,Seed Treatment / Soil Application,Groundnut;Chickpea;Soybean;Pulses,All,All,Both,1,80,80.0,kg,High,2026-08-01,Legume inoculant; fixes atmospheric Nitrogen in root nodules of groundnut, soybean, gram
PSB (Phosphate Solubilizing Bacteria),Biofertilizer (P-Solubilizer),KVIC / ICAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Solubilizes fixed P 15-20 kg/ha,Seed Treatment / Soil Application,All,All,All,Both,1,80,80.0,kg,High,2026-08-01,Converts insoluble soil P into plant-available orthophosphate form
Vermicompost,Organic Manure,Organic Standard,1.5,1.0,1.5,0.0,0.0,0.0,2.0,0.5,15.0,Fe; Mn; Cu; Zn traces,Soil Incorporation,All,All,All,Both,50,400,8.0,kg,High,2026-08-01,Rich organic manure; improves soil structure, water holding capacity, and microbial activity
Seaweed Extract (Bio-Stimulant),Organic Bio-Stimulant,Biostadt / Rallis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cytokinins; Auxins; Amino acids,Foliar Spray,Vegetables;Fruits;Cotton;Cereals,All,All,Both,1,350,350.0,L,High,2026-08-01,Natural growth promoter; enhances root expansion, flowering set, and abiotic stress resistance
Multi-Micronutrient Grade II,Micronutrient Mixture,FCO Standard,0.0,0.0,0.0,0.0,3.0,0.5,0.0,1.5,0.0,Fe 5%; Mn 2%; Cu 0.5%,Soil Application / Foliar,All,All,All,Both,10,1200,120.0,kg,High,2026-08-01,Complete balanced micronutrient blend compliant with state FCO norms
