Crop,Growth_Stage,Ideal_Nitrogen,Ideal_Phosphorus,Ideal_Potassium,Ideal_pH,Source
artemisia,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
artemisia,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
artemisia,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
asafoetida (hing),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
asafoetida (hing),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
asafoetida (hing),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
ash gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
ash gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
ash gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
ashwagandha,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
ashwagandha,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
ashwagandha,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
asparagus,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
asparagus,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
asparagus,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
avocado,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
avocado,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
avocado,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
baby corn,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
baby corn,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
baby corn,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
bael,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
bael,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
bael,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
bambara groundnut,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
bambara groundnut,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
bambara groundnut,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
banana,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
banana,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
banana,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
barley,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
barley,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
barley,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
barnyard millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
barnyard millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
barnyard millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
bathua,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
bathua,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
bathua,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
bay leaf (tejpatta),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
bay leaf (tejpatta),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
bay leaf (tejpatta),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
beetroot,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
beetroot,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
beetroot,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
ber (indian jujube),Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
ber (indian jujube),Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
ber (indian jujube),Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
bergamot,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
bergamot,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
bergamot,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
berseem,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
berseem,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
berseem,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
betel leaf,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
betel leaf,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
betel leaf,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
bitter gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
bitter gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
bitter gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
black pepper,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
black pepper,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
black pepper,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
blackberry,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
blackberry,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
blackberry,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
blackgram,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
blackgram,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
blackgram,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
blueberry,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
blueberry,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
blueberry,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
bok choy,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
bok choy,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
bok choy,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
bottle gourd,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
bottle gourd,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
bottle gourd,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
brahmi,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
brahmi,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
brahmi,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
breadfruit,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
breadfruit,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
breadfruit,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
broad bean (faba bean),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
broad bean (faba bean),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
broad bean (faba bean),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
broad beans,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
broad beans,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
broad beans,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
broccoli,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
broccoli,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
broccoli,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
browntop millet,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
browntop millet,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
browntop millet,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
brussels sprouts,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
brussels sprouts,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
brussels sprouts,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
buckwheat,Basal / Sowing,28.0,50.0,18.0,6.5,ICAR Cereals & Millets Directorate
buckwheat,Vegetative / Active Growth,40.0,10.0,12.0,6.5,ICAR Cereals & Millets Directorate
buckwheat,Flowering & Fruiting,16.0,25.0,30.0,6.5,ICAR Cereals & Millets Directorate
cabbage,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
cabbage,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
cabbage,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
calophyllum,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
calophyllum,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
calophyllum,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
canary grass,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
canary grass,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
canary grass,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
cantaloupe,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
cantaloupe,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
cantaloupe,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
capsicum,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
capsicum,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
capsicum,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
carambola,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
carambola,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
carambola,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
cardamom large,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cardamom large,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cardamom large,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cardamom small,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cardamom small,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cardamom small,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
carnation,Basal / Sowing,17.5,30.0,15.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
carnation,Vegetative / Active Growth,25.0,6.0,10.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
carnation,Flowering & Fruiting,10.0,15.0,25.0,6.8,ICAR Directorate of Medicinal & Aromatic Plants
carom seed (ajwain),Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
carom seed (ajwain),Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
carom seed (ajwain),Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
carrot,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
carrot,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
carrot,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
cassava (tapioca),Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
cassava (tapioca),Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
cassava (tapioca),Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
cassia,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
cassia,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
cassia,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
castor,Basal / Sowing,24.5,45.0,18.0,6.8,ICAR Directorate of Oilseeds Research
castor,Vegetative / Active Growth,35.0,9.0,12.0,6.8,ICAR Directorate of Oilseeds Research
castor,Flowering & Fruiting,14.0,22.5,30.0,6.8,ICAR Directorate of Oilseeds Research
cauliflower,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
cauliflower,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
cauliflower,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
celery,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
celery,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
celery,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
chamomile,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
chamomile,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
chamomile,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
cherimoya,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
cherimoya,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
cherimoya,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
cherry,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
cherry,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
cherry,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
chestnut,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
chestnut,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
chestnut,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
chia,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
chia,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
chia,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
chicory,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
chicory,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
chicory,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
chinese cabbage,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
chinese cabbage,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
chinese cabbage,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
chinese potato,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
chinese potato,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
chinese potato,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
chow chow,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
chow chow,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
chow chow,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
chrysanthemum,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
chrysanthemum,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
chrysanthemum,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
cinnamon,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cinnamon,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cinnamon,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
citron,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
citron,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
citron,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
citronella,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
citronella,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
citronella,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
clove,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
clove,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
clove,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cluster bean (guar),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
cluster bean (guar),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
cluster bean (guar),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
cocoa,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
cocoa,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
cocoa,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
coconut,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coconut,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coconut,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coffee,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coffee,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coffee,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander leaves,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander leaves,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander leaves,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander seed,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander seed,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
coriander seed,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cottonseed,Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cottonseed,Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cottonseed,Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cowpea (lobia),Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
cowpea (lobia),Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
cowpea (lobia),Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
cowpea pods,Basal / Sowing,14.0,50.0,12.0,6.8,ICAR Indian Institute of Pulses Research
cowpea pods,Vegetative / Active Growth,20.0,10.0,8.0,6.8,ICAR Indian Institute of Pulses Research
cowpea pods,Flowering & Fruiting,8.0,25.0,20.0,6.8,ICAR Indian Institute of Pulses Research
cucumber,Basal / Sowing,31.5,60.0,30.0,6.5,ICAR Indian Institute of Horticultural Research
cucumber,Vegetative / Active Growth,45.0,12.0,20.0,6.5,ICAR Indian Institute of Horticultural Research
cucumber,Flowering & Fruiting,18.0,30.0,50.0,6.5,ICAR Indian Institute of Horticultural Research
cumin (jeera),Basal / Sowing,35.0,50.0,36.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cumin (jeera),Vegetative / Active Growth,50.0,10.0,24.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
cumin (jeera),Flowering & Fruiting,20.0,25.0,60.0,6.5,ICAR Indian Institute of Spices & Plantation Crops
curry leaves,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
curry leaves,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
curry leaves,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
custard apple,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
custard apple,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
custard apple,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
date palm,Basal / Sowing,42.0,40.0,48.0,6.5,ICAR National Research Centre for Fruit Crops
date palm,Vegetative / Active Growth,60.0,8.0,32.0,6.5,ICAR National Research Centre for Fruit Crops
date palm,Flowering & Fruiting,24.0,20.0,80.0,6.5,ICAR National Research Centre for Fruit Crops
dill leaves,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
dill leaves,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
dill leaves,Flowering & Fruiting,16.0,20.0,40.0,6.5,ICAR General Agronomy Standard
dill seed,Basal / Sowing,28.0,40.0,24.0,6.5,ICAR General Agronomy Standard
dill seed,Vegetative / Active Growth,40.0,8.0,16.0,6.5,ICAR General Agronomy Standard
