Crop_Name,Suitable_Season,State,Average_Cost_Per_Acre,Seed_Cost,Fertilizer_Cost,Labour_Cost,Irrigation_Cost,Machinery_Cost,Other_Cost,Total_Cost,Cost_Unit,Source,Last_Updated
rice,Kharif,Tripura,25482,1800,4800,10304,3200,3678,1700,25482,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Jharkhand,24974,1800,4800,9856,3200,3618,1700,24974,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Meghalaya,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Manipur,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Nagaland,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Mizoram,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Arunachal Pradesh,25228,1800,4800,10080,3200,3648,1700,25228,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Goa,29044,1800,4800,13440,3200,4104,1700,29044,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Puducherry,28790,1800,4800,13216,3200,4074,1700,28790,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
rice,Kharif,Gujarat,27743,1800,4800,11872,3680,3891,1700,27743,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Uttar Pradesh,22158,2544,4452,6900,2800,3872,1590,22158,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Madhya Pradesh,22158,2544,4452,6900,2800,3872,1590,22158,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Punjab,25497,2544,4452,9375,3136,4400,1590,25497,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Haryana,25224,2544,4452,9150,3136,4352,1590,25224,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Rajasthan,23390,2544,4452,7500,3304,4000,1590,23390,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Bihar,21514,2544,4452,6600,2520,3808,1590,21514,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Gujarat,23852,2544,4452,7950,3220,4096,1590,23852,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Maharashtra,23838,2544,4452,8100,3024,4128,1590,23838,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Uttarakhand,23341,2544,4452,7875,2800,4080,1590,23341,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Himachal Pradesh,24524,2544,4452,8850,2800,4288,1590,24524,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Jammu and Kashmir,22886,2544,4452,7500,2800,4000,1590,22886,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,Jharkhand,21794,2544,4452,6600,2800,3808,1590,21794,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
wheat,Rabi,West Bengal,22466,2544,4452,7500,2380,4000,1590,22466,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Karnataka,19330,2500,3800,6820,1890,3120,1200,19330,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Madhya Pradesh,17908,2500,3800,5704,1800,2904,1200,17908,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Maharashtra,19236,2500,3800,6696,1944,3096,1200,19236,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Bihar,17432,2500,3800,5456,1620,2856,1200,17432,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Rajasthan,18824,2500,3800,6200,2124,3000,1200,18824,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Uttar Pradesh,17908,2500,3800,5704,1800,2904,1200,17908,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Gujarat,19214,2500,3800,6572,2070,3072,1200,19214,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Telangana,19330,2500,3800,6820,1890,3120,1200,19330,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Andhra Pradesh,19330,2500,3800,6820,1890,3120,1200,19330,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Tamil Nadu,19568,2500,3800,6944,1980,3144,1200,19568,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Himachal Pradesh,19832,2500,3800,7316,1800,3216,1200,19832,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Kharif,Punjab,20566,2500,3800,7750,2016,3300,1200,20566,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Bihar,17882,2650,4028,5456,1620,2856,1272,17882,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Andhra Pradesh,19780,2650,4028,6820,1890,3120,1272,19780,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Telangana,19780,2650,4028,6820,1890,3120,1272,19780,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Tamil Nadu,20018,2650,4028,6944,1980,3144,1272,20018,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Maharashtra,19686,2650,4028,6696,1944,3096,1272,19686,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,Karnataka,19780,2650,4028,6820,1890,3120,1272,19780,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
maize,Rabi,West Bengal,18680,2650,4028,6200,1530,3000,1272,18680,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Rajasthan,13716,1400,2500,4800,1416,2400,1200,13716,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Madhya Pradesh,13039,1400,2500,4416,1200,2323,1200,13039,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Maharashtra,14057,1400,2500,5184,1296,2477,1200,14057,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Karnataka,14136,1400,2500,5280,1260,2496,1200,14136,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Gujarat,14026,1400,2500,5088,1380,2458,1200,14026,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Bihar,12689,1400,2500,4224,1080,2285,1200,12689,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Uttar Pradesh,13039,1400,2500,4416,1200,2323,1200,13039,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Kharif,Odisha,12665,1400,2500,4224,1056,2285,1200,12665,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Punjab,15763,1568,2800,6000,1411,2640,1344,15763,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Haryana,15590,1568,2800,5856,1411,2611,1344,15590,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Uttar Pradesh,13711,1568,2800,4416,1260,2323,1344,13711,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Bihar,13355,1568,2800,4224,1134,2285,1344,13355,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,West Bengal,13983,1568,2800,4800,1071,2400,1344,13983,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Andhra Pradesh,14811,1568,2800,5280,1323,2496,1344,14811,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Telangana,14811,1568,2800,5280,1323,2496,1344,14811,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
mungbean,Zaid,Karnataka,14811,1568,2800,5280,1323,2496,1344,14811,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
onion,Kharif,Maharashtra,35528,4500,5500,15120,3780,4128,2500,35528,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Kharif,Karnataka,35735,4500,5500,15400,3675,4160,2500,35735,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Kharif,Gujarat,35461,4500,5500,14840,4025,4096,2500,35461,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Kharif,Madhya Pradesh,32752,4500,5500,12880,3500,3872,2500,32752,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Kharif,Rajasthan,34630,4500,5500,14000,4130,4000,2500,34630,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Maharashtra,36278,4770,5830,15120,3780,4128,2650,36278,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Karnataka,36485,4770,5830,15400,3675,4160,2650,36485,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Gujarat,36211,4770,5830,14840,4025,4096,2650,36211,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Madhya Pradesh,33502,4770,5830,12880,3500,3872,2650,33502,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Rajasthan,35380,4770,5830,14000,4130,4000,2650,35380,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Uttar Pradesh,33502,4770,5830,12880,3500,3872,2650,33502,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Bihar,32528,4770,5830,12320,3150,3808,2650,32528,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Tamil Nadu,36972,4770,5830,15680,3850,4192,2650,36972,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Haryana,38602,4770,5830,17080,3920,4352,2650,38602,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Rabi,Punjab,39070,4770,5830,17500,3920,4400,2650,39070,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Zaid,Maharashtra,37217,5040,6160,15120,3969,4128,2800,37217,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Zaid,Karnataka,37419,5040,6160,15400,3859,4160,2800,37419,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Zaid,Gujarat,37162,5040,6160,14840,4226,4096,2800,37162,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Zaid,Tamil Nadu,37915,5040,6160,15680,4043,4192,2800,37915,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
onion,Zaid,Andhra Pradesh,37419,5040,6160,15400,3859,4160,2800,37419,INR/Acre,CACP & DOGR Rajgurunagar Benchmark,2024-2025
potato,Kharif,Karnataka,43160,18000,6500,9350,3150,4160,2000,43160,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Kharif,Himachal Pradesh,43818,18000,6500,10030,3000,4288,2000,43818,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Kharif,Meghalaya,40990,18000,6500,7650,3000,3840,2000,40990,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Gujarat,44646,19080,6890,9010,3450,4096,2120,44646,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Punjab,46475,19080,6890,10625,3360,4400,2120,46475,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Haryana,46172,19080,6890,10370,3360,4352,2120,46172,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Uttar Pradesh,42782,19080,6890,7820,3000,3872,2120,42782,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Rajasthan,44130,19080,6890,8500,3540,4000,2120,44130,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,West Bengal,43140,19080,6890,8500,2550,4000,2120,43140,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Bihar,42078,19080,6890,7480,2700,3808,2120,42078,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Madhya Pradesh,42782,19080,6890,7820,3000,3872,2120,42782,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
potato,Rabi,Assam,42848,19080,6890,8330,2460,3968,2120,42848,INR/Acre,CPRI Shimla & State Ag Dept Norms,2024-2025
barley,Rabi,Punjab,17850,1908,3180,6500,2016,3080,1166,17850,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Haryana,17660,1908,3180,6344,2016,3046,1166,17660,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Uttar Pradesh,15548,1908,3180,4784,1800,2710,1166,15548,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Madhya Pradesh,15548,1908,3180,4784,1800,2710,1166,15548,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Rajasthan,16378,1908,3180,5200,2124,2800,1166,16378,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Bihar,15116,1908,3180,4576,1620,2666,1166,15116,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Himachal Pradesh,17192,1908,3180,6136,1800,3002,1166,17192,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
barley,Rabi,Uttarakhand,16370,1908,3180,5460,1800,2856,1166,16370,INR/Acre,DES Directorate of Economics & Statistics,2024-2025
oats,Rabi,Punjab,16266,1696,2968,6000,1792,2750,1060,16266,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Haryana,16092,1696,2968,5856,1792,2720,1060,16092,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Uttar Pradesh,14160,1696,2968,4416,1600,2420,1060,14160,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Madhya Pradesh,14160,1696,2968,4416,1600,2420,1060,14160,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Rajasthan,14912,1696,2968,4800,1888,2500,1060,14912,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Bihar,13768,1696,2968,4224,1440,2380,1060,13768,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Himachal Pradesh,15668,1696,2968,5664,1600,2680,1060,15668,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats,Rabi,Uttarakhand,14914,1696,2968,5040,1600,2550,1060,14914,INR/Acre,ICAR-IGFRI Cost Guidelines,2024-2025
oats fodder,Rabi,Punjab,16974,1590,2862,7250,1792,2420,1060,16974,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Haryana,16774,1590,2862,7076,1792,2394,1060,16774,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Uttar Pradesh,14578,1590,2862,5336,1600,2130,1060,14578,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Madhya Pradesh,14578,1590,2862,5336,1600,2130,1060,14578,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Rajasthan,15400,1590,2862,5800,1888,2200,1060,15400,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Bihar,14150,1590,2862,5104,1440,2094,1060,14150,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Himachal Pradesh,16314,1590,2862,6844,1600,2358,1060,16314,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
oats fodder,Rabi,Uttarakhand,15446,1590,2862,6090,1600,2244,1060,15446,INR/Acre,ICAR-IGFRI Fodder Cost Guidelines,2024-2025
quinoa,Rabi,Punjab,19073,2332,3392,6875,2016,3080,1378,19073,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Haryana,18874,2332,3392,6710,2016,3046,1378,18874,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Uttar Pradesh,16672,2332,3392,5060,1800,2710,1378,16672,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Madhya Pradesh,16672,2332,3392,5060,1800,2710,1378,16672,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Rajasthan,17526,2332,3392,5500,2124,2800,1378,17526,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Bihar,16228,2332,3392,4840,1620,2666,1378,16228,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Himachal Pradesh,18394,2332,3392,6490,1800,3002,1378,18394,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
quinoa,Rabi,Uttarakhand,17533,2332,3392,5775,1800,2856,1378,17533,INR/Acre,State Agriculture University (SAU) Norms,2024-2025
rye,Rabi,Punjab,15351,1590,2756,5625,1680,2640,1060,15351,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Haryana,15187,1590,2756,5490,1680,2611,1060,15187,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Uttar Pradesh,13369,1590,2756,4140,1500,2323,1060,13369,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Madhya Pradesh,13369,1590,2756,4140,1500,2323,1060,13369,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Rajasthan,14076,1590,2756,4500,1770,2400,1060,14076,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Bihar,13001,1590,2756,3960,1350,2285,1060,13001,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Himachal Pradesh,14789,1590,2756,5310,1500,2573,1060,14789,INR/Acre,State Agriculture Dept Benchmark,2024-2025
rye,Rabi,Uttarakhand,14079,1590,2756,4725,1500,2448,1060,14079,INR/Acre,State Agriculture Dept Benchmark,2024-2025
triticale,Rabi,Punjab,16588,1802,3074,6000,1792,2860,1060,16588,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Haryana,16413,1802,3074,5856,1792,2829,1060,16413,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Uttar Pradesh,14469,1802,3074,4416,1600,2517,1060,14469,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Madhya Pradesh,14469,1802,3074,4416,1600,2517,1060,14469,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Rajasthan,15224,1802,3074,4800,1888,2600,1060,15224,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Bihar,14075,1802,3074,4224,1440,2475,1060,14075,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Himachal Pradesh,15987,1802,3074,5664,1600,2787,1060,15987,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
triticale,Rabi,Uttarakhand,15228,1802,3074,5040,1600,2652,1060,15228,INR/Acre,ICAR-IWRR Package of Practices,2024-2025
sorghum (jowar),Kharif,Maharashtra,13057,900,2200,5184,1296,2477,1000,13057,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Karnataka,13136,900,2200,5280,1260,2496,1000,13136,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Madhya Pradesh,12039,900,2200,4416,1200,2323,1000,12039,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Rajasthan,12716,900,2200,4800,1416,2400,1000,12716,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Andhra Pradesh,13136,900,2200,5280,1260,2496,1000,13136,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Telangana,13136,900,2200,5280,1260,2496,1000,13136,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Tamil Nadu,13311,900,2200,5376,1320,2515,1000,13311,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Kharif,Gujarat,13026,900,2200,5088,1380,2458,1000,13026,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Rabi,Maharashtra,13303,954,2332,5184,1296,2477,1060,13303,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Rabi,Karnataka,13382,954,2332,5280,1260,2496,1060,13382,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Rabi,Andhra Pradesh,13382,954,2332,5280,1260,2496,1060,13382,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
sorghum (jowar),Rabi,Telangana,13382,954,2332,5280,1260,2496,1060,13382,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Rajasthan,11680,800,2000,4500,1180,2200,1000,11680,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Uttar Pradesh,11070,800,2000,4140,1000,2130,1000,11070,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Gujarat,11973,800,2000,4770,1150,2253,1000,11973,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Haryana,12804,800,2000,5490,1120,2394,1000,12804,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Maharashtra,12010,800,2000,4860,1080,2270,1000,12010,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Madhya Pradesh,11070,800,2000,4140,1000,2130,1000,11070,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Karnataka,12088,800,2000,4950,1050,2288,1000,12088,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Kharif,Tamil Nadu,12246,800,2000,5040,1100,2306,1000,12246,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Zaid,Gujarat,12487,896,2240,4770,1208,2253,1120,12487,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Zaid,Rajasthan,12195,896,2240,4500,1239,2200,1120,12195,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Zaid,Uttar Pradesh,11576,896,2240,4140,1050,2130,1120,11576,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
pearl millet (bajra),Zaid,Haryana,13316,896,2240,5490,1176,2394,1120,13316,INR/Acre,"CACP Cost of Cultivation Scheme (DES, MoA&FW)",2024-2025
