Crop_Name,Disease_Name,Scientific_Name,Disease_Type,Severity,Affected_Plant_Part,Symptoms,Causes,Favorable_Weather,Organic_Treatment,Chemical_Treatment,Recommended_Active_Ingredient,Dosage,Spray_Interval,Prevention,Recovery_Possibility,Estimated_Yield_Loss,Immediate_Farmer_Action,Govt_ICAR_Recommendation,ML_Class_Name,Image_Folder_Name
tomato,Target Spot,Corynespora cassiicola,Fungal,Medium,Leaves/Fruit,Circular brown lesions with concentric rings and yellow halos on leaves; spots on fruit.,Airborne and water-splashed fungal conidia.,"Temperature 22–30°C, high humidity, high dew.",Neem oil 2% spray.,"Azoxystrobin 23 SC, Difenoconazole 25 EC.",Azoxystrobin,1 mL/L water,Every 10–14 days,Stake plants; improve air circulation; avoid overhead irrigation.,Yes,5–20%,Spray Azoxystrobin at first lesion appearance.,ICAR recommends azoxystrobin-based fungicides for target spot in tomato.,Tomato___Target_Spot,Tomato___Target_Spot
tomato,Two-Spotted Spider Mite,Tetranychus urticae,Arachnid Pest,Medium,Leaves,Tiny white/yellow stippling on leaves; bronzing; webbing on underside; premature leaf drop.,Mite infestation; hot dry conditions amplify population; pesticide-induced resurgence.,"Temperature 28–35°C, low humidity, drought stress.",Neem oil 5% spray; release predatory mite Phytoseiulus persimilis.,"Abamectin 1.9 EC, Spiromesifen 22.9 SC, Propargite 57 EC.",Abamectin,0.5 mL/L water,Every 7 days (2 sprays),Maintain adequate soil moisture; avoid dust; use reflective mulch.,Yes,5–30%,Spray abamectin on underside of leaves; improve irrigation to reduce drought stress.,ICAR recommends abamectin and neem oil sprays for spider mite control in tomato.,Tomato___Two_Spotted_Spider_Mite,Tomato___Two_Spotted_Spider_Mite
potato,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Potato___Healthy,Potato___Healthy
potato,Late Blight,Phytophthora infestans,Fungal/Oomycete,Very High,Leaves/Stem/Tuber,Water-soaked dark patches on leaves with white downy growth underneath; brown rot of tubers.,Airborne sporangia; zoospores in soil water infect tubers; cool humid conditions.,"Temperature 10–20°C, RH >90%, cool nights with warm days, foggy weather.",Copper sulphate 1% spray; destroy infected plant material.,"Metalaxyl + Mancozeb 72 WP, Cymoxanil + Mancozeb, Dimethomorph 50 WP.",Metalaxyl + Mancozeb,2.5 g/L water,Every 7 days during high-risk period,Plant certified disease-free seed tubers; grow resistant varieties; avoid overhead irrigation.,Yes (partial),40–100%,Remove infected haulms; spray Metalaxyl immediately; do not harvest in wet conditions.,ICAR recommends Metalaxyl + Mancozeb @ 2.5 g/L for potato late blight management.,Potato___Late_Blight,Potato___Late_Blight
potato,Early Blight,Alternaria solani,Fungal,High,Leaves/Stem,Dark brown target-like concentric ring spots on older leaves; yellowing; premature defoliation.,Airborne and soil-borne conidia; favoured by alternating wet/dry conditions.,"Temperature 24–29°C, high humidity, alternating wet-dry periods.",Neem oil 2%; Trichoderma seed treatment on seed pieces.,"Mancozeb 75 WP, Chlorothalonil 75 WP, Iprodione 50 WP.",Mancozeb,2.5 g/L water,Every 7–10 days,Use certified seed tubers; crop rotation; remove infected debris.,Yes,10–30%,Spray Mancozeb at first appearance; remove infected lower leaves.,ICAR recommends Mancozeb 75 WP @ 2.5 g/L for early blight management.,Potato___Early_Blight,Potato___Early_Blight
soybeans,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Soybeans___Healthy,Soybeans___Healthy
grapes,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Grapes___Healthy,Grapes___Healthy
grapes,Downy Mildew,Plasmopara viticola,Fungal/Oomycete,Very High,Leaves/Berries,Oil-spot yellow lesions on upper leaf surface; white cottony sporulation on underside; berry shrivelling.,Oospores in soil; airborne sporangia; rain-splashed.,"Temperature 20–25°C, RH >90%, frequent rains, high soil moisture.",Bordeaux mixture 1%; remove infected plant parts.,"Metalaxyl + Mancozeb 72 WP, Cymoxanil + Mancozeb, Dimethomorph 50 WP.",Metalaxyl + Mancozeb,2.5 g/L water,Every 7–10 days,Grow resistant varieties; ensure good air circulation; avoid overhead irrigation.,Yes,20–100%,Spray Metalaxyl + Mancozeb immediately; remove diseased berries; improve air circulation.,ICAR-NRC Grapes recommends Metalaxyl + Mancozeb for downy mildew management.,Grapes___Downy_Mildew,Grapes___Downy_Mildew
grapes,Powdery Mildew,Uncinula necator (Erysiphe necator),Fungal,High,Leaves/Berries/Shoots,"White mealy coating on leaves, young shoots and berries; berries crack; russeting of berries.",Airborne conidia; overwinters in infected buds; dry warm conditions.,"Temperature 18–25°C, low humidity, warm cloudy weather.",Wettable Sulphur 80 WP; neem oil 2%.,"Wettable Sulphur 80 WP, Hexaconazole 5 EC, Myclobutanil 10 WP.",Wettable Sulphur,2.5 g/L water,Every 10–14 days,Grow resistant varieties; remove infected canes; avoid excess nitrogen.,Yes,10–50%,Spray Wettable Sulphur or Myclobutanil at first white patches.,ICAR recommends wettable Sulphur 80 WP for powdery mildew in grapes.,Grapes___Powdery_Mildew,Grapes___Powdery_Mildew
grapes,Anthracnose,Elsinoe ampelina,Fungal,High,Leaves/Berries/Shoots,Circular dark brown spots with light grey centres on leaves; sunken spots on berries and shoots.,Seed-borne (infected canes); rain-splashed.,"Temperature 24–32°C, RH >90%, warm rainy conditions during shoot growth.",Bordeaux mixture 1% spray.,"Carbendazim 50 WP, Mancozeb 75 WP, Copper oxychloride.",Carbendazim,1 g/L water,Every 10–14 days,Use disease-free planting material; prune infected canes; remove debris.,Yes,10–40%,Spray Carbendazim; prune and destroy infected canes.,ICAR recommends Carbendazim and Bordeaux mixture for anthracnose in grapes.,Grapes___Anthracnose,Grapes___Anthracnose
apple,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Apple___Healthy,Apple___Healthy
apple,Scab,Venturia inaequalis,Fungal,High,Leaves/Fruit,Olive-green to dark brown velvety lesions on leaves; scabby corky lesions on fruit surface.,Ascospores released from fallen infected leaves; rain-splashed conidia.,"Temperature 16–24°C, wet conditions, rain during blossom to fruit development.",Remove and destroy fallen leaves; copper spray in early spring.,"Mancozeb 75 WP, Dodine 65 WP, Myclobutanil 10 WP, Captan 50 WP.",Myclobutanil,1 g/L water,Every 7–10 days (preventive from green tip),Grow scab-resistant varieties; remove leaf litter; prune for air circulation.,Yes,10–50%,Spray Myclobutanil at first lesion; remove infected leaves; prune crowded branches.,ICAR-CITH recommends Mancozeb/Myclobutanil spray program starting at green tip stage.,Apple___Scab,Apple___Scab
strawberry,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Strawberry___Healthy,Strawberry___Healthy
strawberry,Leaf Scorch,Diplocarpon earlianum,Fungal,Medium,Leaves,Small purple-red spots with light centres on leaves; leaf scorch; purple discolouration.,Airborne conidia from infected leaves; high humidity.,"Temperature 18–24°C, rainy conditions, high humidity.",Remove infected leaves; copper spray.,"Captan 50 WP, Mancozeb 75 WP.",Captan,2 g/L water,Every 10–14 days,Remove infected leaves; improve air circulation; avoid overhead irrigation.,Yes,5–15%,Remove infected leaves; spray Captan or Mancozeb.,ICAR recommends Captan 50 WP for leaf scorch management in strawberry.,Strawberry___Leaf_Scorch,Strawberry___Leaf_Scorch
capsicum,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Capsicum___Healthy,Capsicum___Healthy
capsicum,Anthracnose,Colletotrichum capsici,Fungal,High,Fruit/Leaves,Sunken dark brown water-soaked lesions on ripe fruit; pink spore masses; complete fruit rot.,Seed-borne and airborne; rain-splashed; crop debris.,"Temperature 25–30°C, high humidity, rainy conditions during fruiting.",Neem oil 2%; Trichoderma seed treatment.,"Carbendazim 50 WP, Mancozeb 75 WP, Azoxystrobin 23 SC.",Carbendazim,1 g/L water,Every 10–14 days,Use disease-free seed; crop rotation; grow resistant varieties.,Yes,20–50%,Spray Carbendazim at first lesion; harvest fruit before full ripening.,ICAR recommends Carbendazim 50 WP @ 1 g/L for anthracnose in capsicum.,Capsicum___Anthracnose,Capsicum___Anthracnose
orange,Greening (Huanglongbing),Candidatus Liberibacter asiaticus,Bacterial,Very High,Leaves/Whole Tree,Asymmetric blotchy mottle on leaves; small misshapen fruit; bitter taste; tree decline.,Transmitted by Asian citrus psyllid (Diaphorina citri); grafting with infected material.,Warm humid conditions; high psyllid population.,Remove infected trees; control psyllid with neem oil 2%.,Imidacloprid 17.8 SL for psyllid; Oxytetracycline trunk injection (partial).,Imidacloprid,0.3 mL/L water,Every 15 days for psyllid control,Grow disease-free certified nursery plants; control psyllid; rogue infected trees.,No (tree decline),20–100%,Remove infected trees; control psyllid vector with Imidacloprid; replant with certified material.,ICAR-NRC Citrus recommends certified nursery material and psyllid management for HLB prevention.,Orange___Greening_Huanglongbing,Orange___Greening_Huanglongbing
squash,Powdery Mildew,Sphaerotheca fuliginea / Podosphaera xanthii,Fungal,High,Leaves/Stems,White powdery colonies on both leaf surfaces; yellowing; premature plant death.,Airborne conidia; dry warm conditions.,"Temperature 20–30°C, moderate humidity, dry conditions.",Wettable Sulphur 80 WP; neem oil 2%.,"Wettable Sulphur 80 WP, Triadimefon 25 WP, Hexaconazole 5 EC.",Wettable Sulphur,2.5 g/L water,Every 10–14 days,Grow resistant varieties; adequate spacing; crop rotation.,Yes,10–50%,Spray Wettable Sulphur at first sign.,ICAR recommends Wettable Sulphur for powdery mildew in squash.,Squash___Powdery_Mildew,Squash___Powdery_Mildew
blueberry,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Blueberry___Healthy,Blueberry___Healthy
cherry,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Cherry___Healthy,Cherry___Healthy
cherry,Powdery Mildew,Erysiphe / Podosphaera spp.,Fungal,Medium,Leaves/Shoots,White powdery fungal colonies on leaves; yellowing; premature leaf drop.,Airborne conidia; warm dry conditions with moderate humidity.,"Temperature 18–28°C, dry conditions, moderate humidity.",Neem oil 2% spray; Wettable Sulphur 80 WP.,"Wettable Sulphur 80 WP, Triadimefon 25 WP.",Wettable Sulphur,2.5 g/L water,Every 10–14 days,Adequate plant spacing; crop rotation; avoid excess nitrogen.,Yes,5–20%,Spray Wettable Sulphur 80 WP at first sign of white colonies; improve air circulation.,ICAR recommends Wettable Sulphur 80 WP @ 2.5 g/L for powdery mildew management.,Cherry___Powdery_Mildew,Cherry___Powdery_Mildew
peach,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Peach___Healthy,Peach___Healthy
peach,Leaf Spot,Alternaria / Cercospora spp.,Fungal,Medium,Leaves,Circular to irregular brown spots with yellow halos on leaves; premature defoliation.,Seed-borne and airborne fungal conidia; humid conditions.,"Temperature 22–30°C, RH >80%, rainy weather.",Neem oil 2%; Trichoderma viride seed treatment.,"Mancozeb 75 WP, Chlorothalonil 75 WP.",Mancozeb,2.5 g/L water,Every 10–14 days,Use certified disease-free seed; crop rotation; remove infected debris.,Yes,10–30%,Spray Mancozeb 75 WP at first sign; remove heavily infected leaves.,ICAR recommends Mancozeb 75 WP @ 2.5 g/L for leaf spot management.,Peach___Leaf_Spot,Peach___Leaf_Spot
raspberry,Healthy,N/A,Healthy,None,Whole Plant,"Plant appears green, vigorous with no visible lesions, spots, or abnormalities.",N/A – plant is healthy,N/A,N/A,N/A,N/A,N/A,N/A,"Use certified seeds, balanced nutrition, timely irrigation, and crop rotation.",N/A,0%,Maintain current crop management practices; monitor weekly for early disease signs.,ICAR recommends integrated crop management for sustained healthy growth.,Raspberry___Healthy,Raspberry___Healthy
